Created on 01-18-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2019-01-18 12-PM,ETHBTC,0.03346,0.03348,0.03321,0.03339,6653.53,222.05
2019-01-18 11-AM,ETHBTC,0.03333,0.0335,0.03333,0.03346,4865.29,162.57
2019-01-18 10-AM,ETHBTC,0.03359,0.03361,0.03333,0.03333,8206.29,274.8
2019-01-18 09-AM,ETHBTC,0.03359,0.03374,0.03358,0.03359,6898.92,232.04
2019-01-18 08-AM,ETHBTC,0.03367,0.0337,0.03356,0.03359,6847.74,230.22
2019-01-18 07-AM,ETHBTC,0.03361,0.03369,0.03356,0.03367,8738.17,293.7
2019-01-18 06-AM,ETHBTC,0.03348,0.03362,0.03348,0.03361,3984.19,133.7
2019-01-18 05-AM,ETHBTC,0.03351,0.03358,0.03343,0.03348,4106.91,137.56
2019-01-18 04-AM,ETHBTC,0.03364,0.03365,0.03343,0.03351,4923.63,165.31
2019-01-18 03-AM,ETHBTC,0.03363,0.0337,0.0336,0.03364,4242.66,142.75
2019-01-18 02-AM,ETHBTC,0.03364,0.0337,0.03358,0.03363,4213.98,141.69
2019-01-18 01-AM,ETHBTC,0.03361,0.0337,0.03359,0.03364,4086.03,137.43
2019-01-18 12-AM,ETHBTC,0.03366,0.03373,0.03355,0.03361,4674.76,157.15
2019-01-17 11-PM,ETHBTC,0.03358,0.03386,0.03358,0.03366,6921.32,233.62
2019-01-17 10-PM,ETHBTC,0.03358,0.03364,0.03352,0.03358,3561.26,119.59
2019-01-17 09-PM,ETHBTC,0.03356,0.03371,0.03354,0.03358,6760.86,227.39
2019-01-17 08-PM,ETHBTC,0.03367,0.03374,0.03348,0.03356,5208.98,175.06
2019-01-17 07-PM,ETHBTC,0.03355,0.03373,0.03354,0.03367,6360.25,214.16
2019-01-17 06-PM,ETHBTC,0.03354,0.03384,0.03349,0.03355,10671.7,358.5
2019-01-17 05-PM,ETHBTC,0.03352,0.03363,0.03333,0.03354,8438.47,282.58
2019-01-17 04-PM,ETHBTC,0.03348,0.03397,0.03344,0.03352,11478.09,386.65
2019-01-17 03-PM,ETHBTC,0.03339,0.03373,0.03326,0.03348,14347.91,480.08
2019-01-17 02-PM,ETHBTC,0.03338,0.03349,0.03328,0.03339,7403.86,247.33
2019-01-17 01-PM,ETHBTC,0.03348,0.03355,0.03338,0.03338,5624.64,188.29
2019-01-17 12-PM,ETHBTC,0.03354,0.03357,0.03336,0.03348,6739.69,225.77
2019-01-17 11-AM,ETHBTC,0.03365,0.03374,0.0335,0.03354,7848.89,263.7
2019-01-17 10-AM,ETHBTC,0.03354,0.03384,0.03305,0.03365,20898.22,698.09
2019-01-17 09-AM,ETHBTC,0.03363,0.03369,0.03346,0.03354,8664.27,291.03
2019-01-17 08-AM,ETHBTC,0.03367,0.03369,0.03352,0.03363,6966.83,234.18
2019-01-17 07-AM,ETHBTC,0.03363,0.03377,0.03359,0.03367,6920.75,233.08
2019-01-17 06-AM,ETHBTC,0.03364,0.03392,0.03356,0.03363,7223.09,243.34
2019-01-17 05-AM,ETHBTC,0.03366,0.03367,0.03354,0.03364,4097.32,137.74
2019-01-17 04-AM,ETHBTC,0.0336,0.03367,0.03354,0.03366,6698.34,225.23
2019-01-17 03-AM,ETHBTC,0.03353,0.03363,0.03346,0.0336,8025.32,269.31
2019-01-17 02-AM,ETHBTC,0.03384,0.0339,0.03346,0.03353,8545.18,288.56
2019-01-17 01-AM,ETHBTC,0.03378,0.03388,0.03375,0.03384,4844.02,163.79
2019-01-17 12-AM,ETHBTC,0.03385,0.0339,0.03377,0.03378,4596.09,155.57
2019-01-16 11-PM,ETHBTC,0.03394,0.03415,0.0338,0.03385,8078.27,274.27
2019-01-16 10-PM,ETHBTC,0.03395,0.03401,0.03379,0.03394,4452.89,151.0
2019-01-16 09-PM,ETHBTC,0.03377,0.03398,0.03372,0.03395,7676.87,259.69
2019-01-16 08-PM,ETHBTC,0.03388,0.03391,0.0337,0.03377,7246.74,245.02
2019-01-16 07-PM,ETHBTC,0.03378,0.034,0.03359,0.03388,8512.17,287.56
2019-01-16 06-PM,ETHBTC,0.03384,0.03438,0.03368,0.03378,9286.52,315.17
2019-01-16 05-PM,ETHBTC,0.03368,0.034,0.03368,0.03384,5755.71,194.72
2019-01-16 04-PM,ETHBTC,0.03372,0.0338,0.03329,0.03368,10398.98,349.52
2019-01-16 03-PM,ETHBTC,0.03393,0.03405,0.03345,0.03372,9317.79,314.98
2019-01-16 02-PM,ETHBTC,0.03381,0.03402,0.03362,0.03393,6648.8,224.91
2019-01-16 01-PM,ETHBTC,0.03436,0.03449,0.03367,0.03381,10869.84,370.49
2019-01-16 12-PM,ETHBTC,0.03389,0.0348,0.03387,0.03436,17512.13,603.14
2019-01-16 11-AM,ETHBTC,0.03389,0.03396,0.03385,0.03389,3675.04,124.63
2019-01-16 10-AM,ETHBTC,0.03388,0.03398,0.03388,0.03389,4528.63,153.66
2019-01-16 09-AM,ETHBTC,0.03394,0.03406,0.03383,0.03388,6505.34,220.78
